week_ending,Value,county_name,county_ansi,watershed_code,sector_desc,group_desc,region_desc,short_desc,unit_desc,location_desc,end_code,agg_level_desc,asd_desc,freq_desc,class_desc,asd_code,CV (%),begin_code,commodity_desc,domain_desc,country_name,reference_period_desc,state_fips_code,zip_5,load_time,source_desc,country_code,county_code,statisticcat_desc,congr_district_code,state_name,watershed_desc,prodn_practice_desc,state_ansi,state_alpha,year,util_practice_desc,domaincat_desc
,"4,520",,,00000000,CROPS,FIELD CROPS,,"WHEAT, IRRIGATED - ACRES HARVESTED",ACRES,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,55.5,00,WHEAT,"IRRIGATION METHOD, PRIMARY",UNITED STATES,YEAR,20,,2024-10-31 12:00:00.000,CENSUS,9000,,AREA HARVESTED,,KANSAS,,IRRIGATED,20,KS,2023,ALL UTILIZATION PRACTICES,"IRRIGATION METHOD, PRIMARY: (GRAVITY)"
,"380,985",,,00000000,CROPS,FIELD CROPS,,"WHEAT, IRRIGATED - ACRES HARVESTED",ACRES,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,20.7,00,WHEAT,"IRRIGATION METHOD, PRIMARY",UNITED STATES,YEAR,20,,2024-10-31 12:00:00.000,CENSUS,9000,,AREA HARVESTED,,KANSAS,,IRRIGATED,20,KS,2023,ALL UTILIZATION PRACTICES,"IRRIGATION METHOD, PRIMARY: (PRESSURE)"
,"385,505",,,00000000,CROPS,FIELD CROPS,,"WHEAT, IRRIGATED - ACRES HARVESTED",ACRES,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,20.3,00,WHEAT,TOTAL,UNITED STATES,YEAR,20,,2024-10-31 12:00:00.000,CENSUS,9000,,AREA HARVESTED,,KANSAS,,IRRIGATED,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,"384,285",,,00000000,CROPS,FIELD CROPS,,"WHEAT, IRRIGATED - ACRES HARVESTED",ACRES,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,20.1,00,WHEAT,WATER SOURCE,UNITED STATES,YEAR,20,,2024-10-31 12:00:00.000,CENSUS,9000,,AREA HARVESTED,,KANSAS,,IRRIGATED,20,KS,2023,ALL UTILIZATION PRACTICES,WATER SOURCE: (GROUND)
,                 (D),,,00000000,CROPS,FIELD CROPS,,"WHEAT, IRRIGATED - ACRES HARVESTED",ACRES,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,(D),00,WHEAT,WATER SOURCE,UNITED STATES,YEAR,20,,2024-10-31 12:00:00.000,CENSUS,9000,,AREA HARVESTED,,KANSAS,,IRRIGATED,20,KS,2023,ALL UTILIZATION PRACTICES,WATER SOURCE: (OFF FARM)
,"1,480",,,00000000,CROPS,FIELD CROPS,,"WHEAT, IRRIGATED - ACRES HARVESTED",ACRES,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,83.7,00,WHEAT,WATER SOURCE,UNITED STATES,YEAR,20,,2024-10-31 12:00:00.000,CENSUS,9000,,AREA HARVESTED,,KANSAS,,IRRIGATED,20,KS,2023,ALL UTILIZATION PRACTICES,WATER SOURCE: (ON FARM SURFACE)
,62,,,00000000,CROPS,FIELD CROPS,,"WHEAT, IRRIGATED - OPERATIONS WITH AREA HARVESTED",OPERATIONS,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,51.2,00,WHEAT,"AREA IRRIGATED, HARVESTED",UNITED STATES,YEAR,20,,2024-10-31 12:00:00.000,CENSUS,9000,,AREA HARVESTED,,KANSAS,,IRRIGATED,20,KS,2023,ALL UTILIZATION PRACTICES,"AREA IRRIGATED, HARVESTED: (1.0 TO 49.9 ACRES)"
,849,,,00000000,CROPS,FIELD CROPS,,"WHEAT, IRRIGATED - OPERATIONS WITH AREA HARVESTED",OPERATIONS,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,20.7,00,WHEAT,"AREA IRRIGATED, HARVESTED",UNITED STATES,YEAR,20,,2024-10-31 12:00:00.000,CENSUS,9000,,AREA HARVESTED,,KANSAS,,IRRIGATED,20,KS,2023,ALL UTILIZATION PRACTICES,"AREA IRRIGATED, HARVESTED: (100 TO 249 ACRES)"
,253,,,00000000,CROPS,FIELD CROPS,,"WHEAT, IRRIGATED - OPERATIONS WITH AREA HARVESTED",OPERATIONS,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,17.2,00,WHEAT,"AREA IRRIGATED, HARVESTED",UNITED STATES,YEAR,20,,2024-10-31 12:00:00.000,CENSUS,9000,,AREA HARVESTED,,KANSAS,,IRRIGATED,20,KS,2023,ALL UTILIZATION PRACTICES,"AREA IRRIGATED, HARVESTED: (250 TO 449 ACRES)"
,262,,,00000000,CROPS,FIELD CROPS,,"WHEAT, IRRIGATED - OPERATIONS WITH AREA HARVESTED",OPERATIONS,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,23.7,00,WHEAT,"AREA IRRIGATED, HARVESTED",UNITED STATES,YEAR,20,,2024-10-31 12:00:00.000,CENSUS,9000,,AREA HARVESTED,,KANSAS,,IRRIGATED,20,KS,2023,ALL UTILIZATION PRACTICES,"AREA IRRIGATED, HARVESTED: (50.0 TO 99.9 ACRES)"
